Index,Value
0,0.0
1,8.223115774240666e-6
2,0.0014233474043504626
3,0.05816111548103711
4,0.8162186788562733
5,4.679966467622347
6,12.940387639430707
7,22.607736649664893
8,32.52086066935399
9,41.91706745150306
10,50.0
